X Y Z
59.3193481 29.389698 0
59.2899287 29.4490026 0
59.2604501 29.5082778 0
59.2309122 29.5675235 0
59.201315 29.6267396 0
59.1716587 29.6859261 0
59.1419432 29.7450829 0
59.1121685 29.80421 0
59.0823348 29.8633072 0
59.0524419 29.9223746 0
59.02249 29.9814121 0
58.9924791 30.0404196 0
58.9624092 30.099397 0
58.9322803 30.1583444 0
58.9020925 30.2172616 0
58.8718458 30.2761486 0
58.8415402 30.3350053 0
58.8111758 30.3938316 0
58.7807526 30.4526276 0
58.7502706 30.5113931 0
58.7197298 30.5701281 0
58.6891303 30.6288325 0
58.6584721 30.6875063 0
58.6277553 30.7461495 0
58.5969799 30.8047618 0
58.5661458 30.8633434 0
58.5352532 30.9218941 0
58.504302 30.9804139 0
58.4732924 31.0389027 0
58.4422242 31.0973605 0
58.4110977 31.1557871 0
58.3799127 31.2141826 0
58.3486693 31.2725469 0
58.3173676 31.33088 0
58.2860076 31.3891816 0
58.2545892 31.4474519 0
58.2231127 31.5056908 0
58.1915779 31.5638982 0
58.1599849 31.6220739 0
58.1283337 31.6802181 0
58.0966244 31.7383306 0
58.0648571 31.7964113 0
58.0330316 31.8544603 0
58.0011482 31.9124774 0
57.9692067 31.9704626 0
57.9372072 32.0284158 0
57.9051499 32.086337 0
57.8730346 32.1442261 0
57.8408614 32.202083 0
57.8086304 32.2599078 0
57.7763416 32.3177002 0
57.743995 32.3754604 0
57.7115907 32.4331882 0
57.6791287 32.4908836 0
57.646609 32.5485465 0
57.6140316 32.6061768 0
57.5813966 32.6637745 0
57.5487041 32.7213396 0
57.5159539 32.7788719 0
57.4831463 32.8363714 0
57.4502812 32.8938382 0
57.4173587 32.951272 0
57.3843787 33.0086729 0
57.3513413 33.0660407 0
57.3182466 33.1233755 0
57.2850946 33.1806772 0
57.2518853 33.2379457 0
57.2186187 33.2951809 0
57.1852949 33.3523829 0
57.1519139 33.4095515 0
57.1184758 33.4666867 0
57.0849806 33.5237885 0
57.0514283 33.5808567 0
57.0178189 33.6378913 0
56.9841525 33.6948923 0
56.9504291 33.7518596 0
56.9166488 33.8087931 0
56.8828115 33.8656929 0
56.8489174 33.9225587 0
56.8149664 33.9793907 0
56.7809586 34.0361886 0
56.7468941 34.0929526 0
56.7127727 34.1496824 0
56.6785947 34.2063781 0
56.64436 34.2630396 0
56.6100686 34.3196668 0
56.5757207 34.3762597 0
56.5413161 34.4328182 0
56.506855 34.4893423 0
56.4723375 34.5458319 0
56.4377634 34.602287 0
56.4031329 34.6587074 0
56.368446 34.7150932 0
56.3337027 34.7714443 0
56.2989031 34.8277606 0
56.2640472 34.8840421 0
56.229135 34.9402887 0
56.1941666 34.9965003 0
56.1591421 35.052677 0
56.1240613 35.1088186 0
56.0889244 35.1649251 0
56.0537315 35.2209964 0
56.0184824 35.2770325 0
55.9831774 35.3330334 0
55.9478164 35.3889989 0
55.9123994 35.444929 0
55.8769265 35.5008237 0
55.8413978 35.5566828 0
55.8058132 35.6125064 0
55.7701728 35.6682944 0
55.7344766 35.7240468 0
55.6987247 35.7797634 0
55.6629171 35.8354442 0
55.6270538 35.8910892 0
55.5911349 35.9466983 0
55.5551604 36.0022714 0
55.5191304 36.0578086 0
55.4830448 36.1133097 0
55.4469038 36.1687747 0
55.4107073 36.2242035 0
55.3744554 36.279596 0
55.3381481 36.3349524 0
55.3017855 36.3902723 0
55.2653676 36.4455559 0
55.2288944 36.500803 0
55.192366 36.5560137 0
55.1557824 36.6111878 0
55.1191436 36.6663252 0
55.0824498 36.721426 0
55.0457008 36.7764901 0
55.0088968 36.8315174 0
54.9720378 36.8865079 0
